"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | BMW | Chevrolet | Ford | Honda | Porsche | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37A7046"
"ColumnCount:",16
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,,1758,1624,48,10,7446,,1734,1598,48,10,,,
"02/1975",7018,,1632,1396,68,12,6920,,1622,1392,64,12,,,
"03/1975",8156,,1876,1722,72,16,8002,,1856,1694,68,16,,,
"04/1975",8144,,1832,1604,104,22,7952,,1810,1578,104,22,,,
"05/1975",9964,,2196,1936,176,16,9682,,2162,1886,172,16,,,
"06/1975",10114,,2278,1860,206,10,9830,,2246,1824,204,10,,,
"07/1975",10462,,2358,2014,212,16,10188,,2342,1980,210,16,,,
"08/1975",10742,,2420,2044,176,28,10450,,2384,2002,166,26,,,
"09/1975",9750,,2226,1964,198,4,9490,,2174,1912,198,4,,,
"10/1975",9916,,2248,1998,148,10,9614,,2190,1954,146,10,,,
"11/1975",9722,,2378,2034,132,20,9470,,2336,1976,128,20,,,
"12/1975",9468,,2316,1954,80,14,9264,,2280,1914,80,14,,,
"01/1976",7498,,1720,1528,46,10,7342,,1704,1488,46,10,,,
"02/1976",7402,,1788,1618,74,16,7248,,1762,1594,74,16,,,
"03/1976",7868,,1776,1578,108,14,7698,,1758,1554,106,14,,,
"04/1976",8682,,2078,1692,112,12,8464,,2026,1670,112,12,,,
"05/1976",10150,,2260,2002,210,10,9930,,2228,1962,206,10,,,
"06/1976",9750,,2100,1910,150,18,9494,,2082,1856,144,18,,,
"07/1976",11222,,2444,2188,230,8,10956,,2414,2158,228,8,,,
"08/1976",10714,,2312,2148,248,16,10506,,2296,2114,246,16,,,
"09/1976",9900,,2228,1974,190,8,9736,,2210,1944,188,8,,,
"10/1976",10506,,2378,2034,146,18,10282,,2352,1986,144,18,,,
"11/1976",8676,,2114,1860,122,12,8512,,2092,1840,122,12,,,
"12/1976",9800,,2346,1960,114,12,9668,,2324,1936,114,12,,,
"01/1977",7026,4,1542,1448,104,12,6916,,1526,1438,104,12,,,
"02/1977",7342,4,1638,1552,96,14,7202,4,1618,1538,96,14,,,
"03/1977",8820,20,1928,1916,188,22,8658,20,1894,1890,188,20,,,
"04/1977",9358,14,2134,1856,268,12,9216,14,2114,1834,268,12,,,
"05/1977",10172,26,2326,1978,378,18,10022,26,2308,1946,378,18,,,
"06/1977",10940,14,2404,2034,392,14,10702,14,2378,1992,392,14,,,
"07/1977",12304,18,2670,2320,602,20,12008,18,2620,2280,602,20,,,
"08/1977",11718,34,2622,2258,416,18,11528,34,2598,2224,416,18,,,
"09/1977",10670,24,2310,2018,346,8,10430,24,2278,1972,346,8,,,
"10/1977",11464,34,2594,2320,294,18,11248,32,2570,2296,294,18,,,
"11/1977",10518,18,2364,2246,196,16,10346,18,2344,2200,196,16,,,
"12/1977",10698,16,2502,2182,130,18,10556,14,2480,2156,130,18,,,
"01/1978",7140,12,1638,1446,94,8,7010,12,1620,1438,94,8,,,
"02/1978",6914,8,1480,1460,116,12,6748,8,1466,1450,116,12,,,
"03/1978",9068,12,2034,1790,158,12,8936,12,2030,1774,158,12,,,
"04/1978",9946,16,2280,2006,312,22,9788,16,2272,1982,312,22,,,
"05/1978",11122,18,2402,1952,456,16,10908,18,2396,1928,456,16,,,
"06/1978",11918,18,2490,2246,510,22,11664,18,2474,2216,510,22,,,
"07/1978",12576,16,2670,2276,566,34,12250,16,2652,2230,562,34,,,
"08/1978",12632,24,2794,2290,548,26,12404,24,2782,2268,548,26,,,
"09/1978",12204,20,2790,2358,458,22,11972,20,2770,2328,458,22,,,
"10/1978",12038,32,2754,2424,310,20,11788,32,2730,2392,310,20,,,
"11/1978",11308,18,2576,2304,228,34,11140,18,2560,2296,226,34,,,
"12/1978",11422,16,2658,2324,202,18,11214,16,2646,2308,202,18,,,
"01/1979",8192,8,1778,1590,122,20,8080,8,1774,1582,122,20,,,
"02/1979",8318,12,1854,1704,122,14,8194,12,1846,1686,122,14,,,
"03/1979",10402,12,2380,1958,264,12,10254,12,2374,1948,264,12,,,
"04/1979",10404,18,2400,1898,350,14,10258,18,2392,1880,350,14,,,
"05/1979",10982,18,2358,1980,478,6,10802,18,2346,1962,478,6,,,
"06/1979",11226,32,2254,2038,524,16,10968,32,2240,2018,520,16,,,
"07/1979",11802,24,2418,2090,516,12,11596,24,2406,2064,516,12,,,
"08/1979",11882,24,2460,2248,542,16,11716,24,2436,2230,542,16,,,
"09/1979",11684,26,2628,2252,430,20,11556,26,2616,2234,430,20,,,
"10/1979",11750,18,2722,2182,276,16,11590,18,2716,2160,276,16,,,
"11/1979",11124,12,2532,2168,198,18,10958,12,2516,2150,198,18,,,
"12/1979",11758,34,2722,2340,220,22,11632,34,2706,2330,220,22,,,
"01/1980",8668,16,1920,1794,128,16,8600,16,1916,1784,128,16,,,
"02/1980",8194,6,1874,1560,166,10,8126,6,1872,1556,166,10,,,
"03/1980",9070,20,2032,1768,218,16,8994,20,2024,1758,218,16,,,
"04/1980",9452,10,1920,1806,344,24,9358,10,1920,1792,342,24,,,
"05/1980",11248,30,2376,2042,522,22,11146,30,2368,2034,522,22,,,
"06/1980",11972,38,2546,2168,536,14,11860,38,2534,2156,536,14,,,
"07/1980",11902,30,2496,2074,580,26,11788,30,2486,2062,580,26,,,
"08/1980",13202,42,2934,2246,590,16,13070,42,2930,2222,590,16,,,
"09/1980",11112,32,2494,2004,458,16,11004,32,2482,1990,458,16,,,
"10/1980",10898,22,2382,2050,286,16,10790,22,2372,2040,286,16,,,
"11/1980",10608,20,2362,2050,228,20,10534,20,2358,2046,228,20,,,
"12/1980",10644,20,2448,2040,172,6,10586,20,2444,2032,172,6,,,
"01/1981",9080,30,2096,1756,158,10,8888,30,2064,1732,154,10,,,
"02/1981",8682,30,1876,1672,208,8,8556,30,1852,1654,206,8,,,
"03/1981",9312,14,2076,1786,278,14,9174,12,2064,1766,272,14,,,
"04/1981",9872,14,2166,1772,346,8,9708,12,2154,1752,342,8,,,
"05/1981",10690,12,2212,1908,382,18,10528,12,2200,1892,378,18,,,
"06/1981",11108,38,2244,1860,442,14,10904,38,2222,1840,436,14,,,
"07/1981",11952,36,2446,1998,570,14,11728,36,2424,1982,560,14,,,
"08/1981",12442,28,2450,2190,592,14,12218,26,2434,2170,588,14,,,
"09/1981",10852,24,2156,2006,482,20,10660,24,2144,1984,476,20,,,
"10/1981",10900,22,2424,2008,298,20,10734,22,2402,1994,294,20,,,
"11/1981",10162,16,2260,1928,240,22,10008,16,2234,1906,240,22,,,
"12/1981",10346,22,2260,1974,200,10,10222,22,2256,1956,200,10,,,
"01/1982",7652,14,1702,1412,156,12,7542,14,1700,1412,156,12,,,
"02/1982",7282,18,1580,1254,194,14,7202,18,1580,1254,194,14,,,
"03/1982",8612,24,1820,1550,244,4,8514,24,1820,1550,244,4,,,
"04/1982",9158,28,1974,1562,294,16,9080,28,1974,1562,294,16,,,
"05/1982",9886,20,2024,1612,478,24,9776,20,2020,1612,478,24,,,
"06/1982",9872,30,2080,1690,410,14,9750,30,2080,1690,410,14,,,
"07/1982",10698,46,2130,1798,474,12,10532,46,2130,1798,474,12,,,
"08/1982",10696,24,2124,1888,498,12,10554,24,2122,1886,498,12,,,
"09/1982",10006,34,2176,1702,390,18,9892,34,2176,1702,390,18,,,
"10/1982",10364,26,2234,1868,306,10,10242,26,2234,1868,306,10,,,
"11/1982",9114,18,1948,1592,198,8,9006,18,1948,1590,198,8,,,
"12/1982",9570,28,2100,1728,218,18,9454,28,2100,1728,218,18,,,
"01/1983",7440,16,1546,1436,198,8,7346,16,1546,1434,198,8,,,
"02/1983",7056,18,1554,1308,172,2,6966,18,1552,1306,172,2,,,
"03/1983",7848,30,1614,1514,196,8,7758,30,1614,1514,196,8,,,
"04/1983",8428,24,1798,1530,312,12,8304,24,1798,1530,312,12,,,
"05/1983",9382,24,1884,1614,410,8,9282,24,1884,1608,410,8,,,
"06/1983",9546,28,1908,1688,426,22,9460,28,1908,1686,426,22,,,
"07/1983",10548,32,2152,1816,562,16,10380,32,2150,1814,562,16,,,
"08/1983",10620,22,2150,1804,550,16,10498,22,2150,1802,550,16,,,
"09/1983",10282,26,2018,1730,464,20,10140,26,2018,1730,464,20,,,
"10/1983",10244,18,2262,1704,368,20,10106,18,2262,1704,368,20,,,
"11/1983",9386,16,1994,1742,230,12,9262,16,1992,1740,230,12,,,
"12/1983",9432,12,1998,1598,238,16,9314,12,1998,1596,238,16,,,
"01/1984",7586,14,1530,1450,206,12,7498,14,1530,1450,206,12,,,
"02/1984",7416,18,1562,1292,234,12,7362,18,1562,1292,234,12,,,
"03/1984",8610,22,1772,1510,300,8,8544,22,1772,1510,300,8,,,
"04/1984",8470,22,1672,1456,308,8,8398,22,1672,1456,308,8,,,
"05/1984",9878,30,1852,1790,500,32,9784,30,1850,1790,500,32,,,
"06/1984",10776,28,2012,1818,558,14,10706,28,2012,1818,558,14,,,
"07/1984",10972,28,2086,1874,568,18,10892,28,2086,1874,568,18,,,
"08/1984",11124,26,2092,1768,638,14,11010,26,2092,1766,638,14,,,
"09/1984",10718,34,2178,1784,578,24,10622,34,2178,1784,578,24,,,
"10/1984",10576,24,2126,1810,398,16,10494,24,2126,1808,398,16,,,
"11/1984",9834,30,2036,1888,268,18,9736,30,2036,1888,268,18,,,
"12/1984",9984,10,2016,1780,360,18,9882,10,2016,1780,360,18,,,
"01/1985",8092,20,1654,1438,176,12,8026,20,1652,1438,176,12,,,
"02/1985",7320,24,1552,1334,220,8,7242,24,1552,1334,220,8,,,
"03/1985",8614,18,1796,1398,374,10,8540,18,1796,1398,374,10,,,
"04/1985",9220,32,1886,1574,494,16,9154,32,1884,1574,494,16,,,
"05/1985",10412,26,2020,1762,590,16,10356,26,2020,1762,590,16,,,
"06/1985",10958,32,2208,1762,622,2,10888,32,2208,1762,620,2,,,
"07/1985",10780,28,2118,1700,692,18,10694,28,2118,1700,692,18,,,
"08/1985",11314,38,2172,1892,590,26,11220,38,2170,1892,588,26,,,
"09/1985",10068,22,2070,1882,488,18,9992,22,2068,1878,488,18,,,
"10/1985",10240,44,2108,1824,428,22,10150,44,2108,1824,428,22,,,
"11/1985",10158,28,2076,1864,308,16,10056,28,2074,1860,308,16,,,
"12/1985",9366,24,1916,1754,238,10,9262,24,1916,1754,238,10,,,
"01/1986",8254,22,1776,1444,226,8,8170,22,1776,1444,226,8,,,
"02/1986",7296,20,1544,1306,218,14,7248,20,1544,1306,218,14,,,
"03/1986",8990,16,1798,1566,356,12,8918,16,1798,1564,354,12,,,
"04/1986",9142,34,1914,1646,406,14,9078,34,1914,1646,406,14,,,
"05/1986",10806,42,2090,1900,540,16,10694,42,2090,1900,536,16,,,
"06/1986",11232,28,2144,1944,602,14,11122,28,2144,1944,598,14,,,
"07/1986",11542,38,2180,1906,704,12,11458,38,2180,1906,704,12,,,
"08/1986",12368,20,2426,2050,636,18,12272,20,2426,2046,636,18,,,
"09/1986",10596,34,2086,1748,488,6,10512,34,2086,1746,488,6,,,
"10/1986",10922,32,2190,1908,386,24,10842,32,2190,1908,386,24,,,
"11/1986",10300,34,2106,1786,384,22,10222,34,2102,1786,384,22,,,
"12/1986",10136,20,2042,1810,314,16,10060,20,2042,1810,314,16,,,
"01/1987",8314,34,1712,1474,238,10,8236,34,1712,1474,238,10,,,
"02/1987",7734,20,1624,1420,244,4,7684,20,1624,1420,244,4,,,
"03/1987",8892,20,1824,1470,338,16,8844,20,1824,1470,338,16,,,
"04/1987",9278,32,1904,1520,412,14,9214,32,1902,1518,412,14,,,
"05/1987",10670,40,2024,1774,584,12,10588,40,2022,1774,584,12,,,
"06/1987",11024,36,2144,1822,574,22,10944,36,2144,1822,574,22,,,
"07/1987",11324,26,2090,1932,612,14,11252,26,2090,1932,612,14,,,
"08/1987",12316,42,2456,2168,596,22,12228,42,2456,2168,596,22,,,
"09/1987",10970,48,2204,1912,514,10,10896,48,2204,1912,514,10,,,
"10/1987",11780,38,2390,2120,486,16,11690,38,2390,2120,484,16,,,
"11/1987",10692,46,2268,1988,350,22,10614,46,2266,1988,350,22,,,
"12/1987",10678,28,2170,1960,338,28,10590,28,2168,1960,338,28,,,
"01/1988",8550,28,1728,1544,214,14,8470,28,1728,1544,214,14,,,
"02/1988",8082,34,1664,1378,274,10,8028,34,1664,1378,274,10,,,
"03/1988",9260,42,1804,1740,348,22,9224,42,1804,1740,348,22,,,
"04/1988",9808,38,2012,1734,428,8,9772,38,2012,1734,428,8,,,
"05/1988",10644,38,2022,1928,510,18,10592,38,2022,1928,510,18,,,
"06/1988",11136,48,2178,1984,542,10,11100,48,2178,1984,542,10,,,
"07/1988",11648,40,2296,2062,524,12,11574,40,2294,2058,524,12,,,
"08/1988",11734,52,2318,1950,600,12,11682,52,2318,1950,600,12,,,
"09/1988",11228,34,2340,2004,506,12,11142,34,2338,2002,506,12,,,
"10/1988",11568,34,2242,2176,436,22,11502,34,2242,2176,436,22,,,
"11/1988",10454,40,2198,1918,342,20,10410,40,2198,1918,342,20,,,
"12/1988",11294,50,2278,1984,308,20,11232,50,2278,1984,308,20,,,
"01/1989",9020,26,1754,1622,288,8,8942,26,1754,1622,288,8,,,
"02/1989",7982,20,1618,1446,238,10,7934,20,1618,1444,238,10,,,
"03/1989",9470,28,1870,1640,358,12,9420,28,1870,1640,358,12,,,
"04/1989",9576,40,1848,1784,402,10,9538,40,1848,1784,402,10,,,
"05/1989",10170,50,2014,1824,490,20,10118,50,2014,1824,490,20,,,
"06/1989",10364,40,2010,1844,446,12,10282,40,2010,1844,446,12,,,
"07/1989",11218,48,2158,1914,576,10,11152,48,2158,1914,576,10,,,
"08/1989",11042,26,2152,1946,500,10,10974,26,2150,1946,500,10,,,
"09/1989",10886,46,2242,1978,464,10,10816,46,2240,1976,464,10,,,
"10/1989",11154,18,2202,1964,416,12,11074,18,2202,1964,416,12,,,
"11/1989",9886,34,1922,1858,346,6,9798,34,1920,1858,346,6,,,
"12/1989",10972,44,2118,2074,360,14,10892,44,2118,2074,360,14,,,
"01/1990",8770,26,1762,1666,248,,8698,26,1762,1666,248,,,,
"02/1990",7910,24,1480,1436,250,8,7858,24,1480,1436,250,8,,,
"03/1990",9364,26,1876,1704,368,12,9306,26,1876,1704,368,12,,,
"04/1990",9296,20,1810,1650,408,16,9238,20,1808,1648,408,16,,,
"05/1990",10112,54,1942,1812,428,6,10040,54,1942,1812,428,6,,,
"06/1990",10726,34,2034,1840,530,14,10678,34,2034,1840,530,14,,,
"07/1990",11324,66,2302,2058,574,10,11234,66,2302,2056,574,10,,,
"08/1990",11130,34,2164,1964,544,4,11068,34,2164,1964,544,4,,,
"09/1990",10544,40,1928,1836,514,18,10472,40,1926,1836,514,18,,,
"10/1990",10176,34,1926,1892,390,18,10118,34,1924,1892,390,18,,,
"11/1990",9656,42,1858,1772,372,16,9602,42,1858,1772,372,16,,,
"12/1990",9576,48,1858,1764,330,6,9510,48,1858,1760,330,6,,,
"01/1991",7338,28,1386,1426,192,8,4308,28,804,650,152,8,72,,20
"02/1991",7294,38,1434,1378,188,6,4318,36,822,674,138,6,90,,28
"03/1991",8494,26,1706,1474,282,6,5128,24,956,732,180,6,138,2,48
"04/1991",8142,24,1686,1498,354,2,4716,24,1002,690,186,2,226,,98
"05/1991",9586,36,1826,1764,482,10,5446,32,998,894,224,10,428,2,156
"06/1991",10136,32,2008,1834,540,10,5562,30,1114,844,232,10,444,,180
"07/1991",10310,40,1964,1818,486,16,5552,34,1032,808,210,16,510,2,172
"08/1991",10732,30,2066,1912,498,16,5924,24,1146,870,238,16,514,4,162
"09/1991",9620,38,1924,1702,412,4,5410,30,1078,806,202,4,386,8,132
"10/1991",9762,40,1964,1784,358,8,5500,34,1144,852,232,8,284,2,88
"11/1991",9472,30,1814,1764,316,2,5630,30,1008,822,246,2,162,,52
"12/1991",8704,32,1684,1726,278,6,5268,28,938,886,224,6,106,2,34
"01/1992",7598,24,1526,1370,216,8,4496,24,844,670,176,8,116,,34
"02/1992",7178,38,1450,1314,238,4,4280,34,826,606,194,4,122,4,22
"03/1992",7432,12,1578,1282,286,2,4420,12,926,676,198,2,208,,64
"04/1992",7762,26,1536,1354,314,6,4388,22,800,664,180,6,312,4,102
"05/1992",9096,46,1790,1512,410,10,5158,36,1040,694,216,10,484,2,132
"06/1992",9510,48,1872,1668,436,6,5228,40,996,790,204,6,504,6,186
"07/1992",9340,32,1726,1736,382,6,5128,26,946,814,182,6,410,,122
"08/1992",9832,44,1922,1818,424,6,5462,28,1052,868,216,6,498,6,154
"09/1992",8694,30,1806,1602,368,10,4704,24,936,708,192,10,386,6,120
"10/1992",10104,28,2060,1766,402,12,5788,26,1110,848,274,12,306,,78
"11/1992",8796,18,1710,1646,362,10,5238,16,936,730,254,10,192,,70
"12/1992",9112,46,1702,1776,312,6,5434,42,948,824,268,6,96,,26
"01/1993",7498,40,1502,1374,240,12,4410,40,844,642,192,12,134,,46
"02/1993",6994,18,1322,1234,234,6,4148,18,780,590,194,6,142,,36
"03/1993",7946,30,1496,1410,260,12,4578,28,832,640,198,12,234,2,56
"04/1993",8102,26,1500,1458,334,2,4578,24,856,674,176,2,430,2,148
"05/1993",9308,34,1826,1674,398,8,5188,32,966,720,218,8,606,2,170
"06/1993",9070,66,1708,1614,404,14,4946,54,876,708,232,14,560,12,156
"07/1993",10202,36,1938,1820,492,4,5494,30,1020,834,274,4,736,6,202
"08/1993",10268,36,1958,1734,486,12,5412,28,1086,736,252,12,726,8,218
"09/1993",9548,38,1820,1706,420,14,5122,30,954,756,238,14,616,8,174
"10/1993",10300,44,1900,1918,392,8,5994,36,1088,926,266,8,418,8,110
"11/1993",9292,46,1722,1794,332,6,5308,44,868,808,272,6,212,2,54
"12/1993",9026,30,1764,1764,260,12,5338,30,1002,850,218,12,130,,38
"01/1994",7634,26,1524,1476,254,14,4264,26,760,694,194,14,132,,52
"02/1994",7102,26,1344,1340,264,6,3926,22,652,594,212,6,156,4,50
"03/1994",8116,36,1608,1456,324,14,4602,34,870,688,232,14,288,2,84
"04/1994",8720,22,1714,1558,378,6,4838,20,916,730,240,6,416,2,130
"05/1994",9298,36,1698,1740,406,8,5078,34,850,816,234,8,578,2,150
"06/1994",9214,36,1654,1668,480,10,4906,32,846,750,284,10,548,4,182
"07/1994",10052,48,1912,1866,460,4,5336,32,950,760,256,4,700,16,190
"08/1994",10228,44,1818,1882,474,4,5484,34,892,836,272,4,588,10,190
"09/1994",9624,48,1820,1784,468,2,5208,34,958,760,290,2,504,14,160
"10/1994",10372,38,2012,1960,412,12,5692,32,1034,844,292,12,440,6,114
"11/1994",9506,22,1748,1868,338,12,5364,20,894,898,288,12,186,2,46
"12/1994",9956,42,1928,1852,362,6,5850,40,1054,862,308,6,144,2,50
"01/1995",8298,38,1644,1602,244,4,4634,32,866,730,198,4,110,4,36
"02/1995",7494,18,1464,1444,280,8,4358,16,826,668,238,8,142,2,38
"03/1995",8682,34,1646,1672,346,4,4846,30,820,770,262,4,250,4,78
"04/1995",8582,36,1660,1636,388,6,4840,34,882,716,258,6,366,2,122
"05/1995",9058,36,1664,1746,424,14,4932,36,852,778,246,14,528,,162
"06/1995",9842,50,1852,1700,436,8,5206,44,914,746,246,8,586,6,172
"07/1995",10122,44,1850,1860,492,10,5360,34,878,808,266,10,618,10,210
"08/1995",10852,52,1950,2002,562,10,5728,44,936,846,360,10,648,6,186
"09/1995",10194,26,1928,1862,442,14,5498,20,972,792,284,14,504,6,150
"10/1995",10590,36,2162,2014,452,14,5672,30,1048,878,296,14,440,6,140
"11/1995",9630,32,1728,1882,376,4,5360,32,820,818,318,4,190,,46
"12/1995",9704,48,1850,1854,368,2,5450,46,938,754,322,2,150,2,40
"01/1996",8414,40,1560,1682,300,8,4452,36,710,738,252,8,152,4,44
"02/1996",8074,36,1504,1512,274,4,4400,30,756,604,222,4,162,6,44
"03/1996",8764,24,1650,1642,322,2,4814,24,804,734,244,2,212,,68
"04/1996",8952,36,1638,1716,376,6,4986,30,858,756,272,6,370,6,100
"05/1996",9318,34,1746,1718,436,4,4938,30,834,744,280,4,490,4,142
"06/1996",10228,50,1826,1826,470,4,5194,44,868,764,268,4,674,6,172
"07/1996",9590,42,1790,1814,446,16,4998,38,858,798,260,16,514,4,170
"08/1996",10570,32,1974,2008,484,6,5374,24,940,848,292,6,628,8,168
"09/1996",9874,34,1864,1812,474,2,5284,28,940,796,290,2,494,6,160
"10/1996",10606,48,1970,1950,486,8,5732,38,1030,848,350,8,386,10,124
"11/1996",10102,42,1970,1870,404,6,5590,40,946,768,348,6,144,2,46
"12/1996",10202,36,1904,1946,390,,5732,36,898,890,350,,118,,34
