"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"01/1997",8752,56,1622,1672,276,2,4830,56,848,714,250,2,104,,26
"02/1997",7720,26,1404,1546,324,6,4186,20,714,650,262,6,164,6,50
"03/1997",8576,34,1558,1622,392,2,4632,26,752,688,316,2,268,8,64
"04/1997",8734,36,1584,1690,354,2,4652,32,804,698,272,2,326,2,74
"05/1997",10174,34,1794,2018,480,6,5328,32,870,868,298,6,484,2,148
"06/1997",9908,34,1732,1858,514,2,5036,22,830,776,324,2,604,12,168
"07/1997",10252,36,1878,2010,542,14,5244,32,874,828,322,14,582,4,194
"08/1997",10578,38,1956,2038,532,8,5394,34,966,798,334,8,574,4,170
"09/1997",9432,30,1790,1708,442,2,4762,24,792,728,298,2,464,6,118
"10/1997",10318,48,1928,1938,436,10,5388,42,962,846,306,10,430,6,112
"11/1997",9600,42,1798,1914,368,4,5132,42,836,796,314,4,182,,40
"12/1997",10076,36,1828,2008,338,2,5544,36,930,904,296,2,126,,28
"01/1998",8510,44,1534,1616,288,4,4514,42,754,652,260,4,124,2,18
"02/1998",7700,32,1372,1530,316,6,4194,30,664,638,248,6,146,2,54
"03/1998",8508,36,1504,1666,324,6,4478,26,716,680,244,6,216,10,68
"04/1998",8524,38,1532,1646,398,4,4446,36,688,706,286,4,354,2,96
"05/1998",9540,42,1696,1810,450,,4798,34,792,768,286,,558,8,152
"06/1998",9544,24,1640,1892,446,4,4680,20,778,712,280,4,508,4,142
"07/1998",10430,52,1782,2016,540,4,5144,44,824,796,318,4,714,8,202
"08/1998",10946,42,1950,2110,512,6,5358,30,910,818,344,6,668,12,142
"09/1998",9826,38,1766,1876,540,6,4848,36,828,738,342,6,538,2,164
"10/1998",10144,48,1794,1944,458,10,5192,42,818,838,330,10,430,6,110
"11/1998",9662,42,1720,1812,434,2,5046,40,720,754,366,2,242,2,58
"12/1998",10510,40,2012,2138,362,10,5402,34,946,836,306,10,162,6,40
"01/1999",7834,30,1450,1516,336,2,4024,30,644,610,284,2,114,,34
"02/1999",7424,38,1282,1474,308,,3828,34,596,594,254,,180,4,34
"03/1999",8686,26,1678,1630,358,4,4464,26,808,666,276,4,278,,72
"04/1999",8588,38,1464,1644,394,6,4252,28,700,628,244,6,428,10,118
"05/1999",9988,34,1732,1892,492,2,4928,32,776,736,318,2,562,2,146
"06/1999",9636,32,1698,1832,446,2,4652,24,780,722,266,2,626,8,152
"07/1999",10288,48,1710,2010,498,6,4766,44,748,768,290,6,706,4,180
"08/1999",10722,52,1828,2136,556,10,4992,44,830,754,338,10,700,8,176
"09/1999",10050,46,1696,1934,482,4,4728,42,704,716,298,4,582,4,144
"10/1999",10564,60,1912,2150,502,10,5126,50,816,860,356,10,468,10,120
"11/1999",9876,46,1810,1918,452,8,5052,44,848,758,364,8,270,2,70
"12/1999",9984,52,1782,2076,452,8,5236,50,858,866,386,8,136,2,34
"01/2000",4402,19,791,866,170,3,2129,18,342,312,135,3,80,1,21
"02/2000",3904,16,688,808,185,1,1930,16,294,319,147,1,90,,28
"03/2000",4369,14,748,832,196,2,2119,11,345,316,145,2,199,3,38
"04/2000",4639,24,802,935,261,,2332,20,357,354,185,,248,4,62
"05/2000",4863,19,795,894,258,3,2295,17,321,321,173,3,329,2,73
"06/2000",5027,25,804,911,285,1,2319,22,359,328,164,1,400,3,103
"07/2000",5344,17,911,1008,288,4,2522,17,409,386,168,4,401,,105
"08/2000",5289,25,853,1016,285,2,2427,21,370,371,171,2,428,4,95
"09/2000",5137,23,850,956,241,3,2424,17,369,378,157,3,347,6,71
"10/2000",5178,21,854,977,266,5,2540,19,376,368,199,5,251,2,52
"11/2000",4625,25,799,865,214,2,2362,22,364,313,179,2,119,1,17
"12/2000",4817,25,804,966,219,6,2378,22,341,373,186,6,82,3,20
"01/2001",4117,19,707,795,186,5,2067,17,306,306,148,5,73,2,25
"02/2001",3956,24,676,745,186,2,1975,24,292,279,153,2,97,,27
"03/2001",4311,24,762,813,187,2,2131,20,322,316,149,2,156,4,30
"04/2001",4526,19,776,832,225,5,2194,16,353,323,152,5,308,3,58
"05/2001",5028,20,801,924,284,3,2306,14,316,352,187,3,357,4,82
"06/2001",4873,23,850,896,294,2,2246,19,345,309,164,2,402,4,92
"07/2001",5229,24,878,997,327,2,2398,17,379,367,197,2,441,7,109
"08/2001",5373,20,888,996,297,1,2471,15,366,361,169,1,425,4,102
"09/2001",4930,20,782,940,274,1,2275,16,337,353,161,1,388,4,90
"10/2001",5304,27,857,974,287,2,2524,22,335,353,209,2,271,5,57
"11/2001",5104,24,905,972,261,2,2440,22,341,388,188,2,200,2,47
"12/2001",5167,27,930,1007,273,,2561,22,373,388,209,,142,4,40
"01/2002",4567,20,789,880,231,7,2256,16,338,328,185,7,102,2,23
"02/2002",4034,24,719,766,194,4,1974,22,296,279,153,4,127,2,24
"03/2002",4727,20,790,919,255,2,2284,19,332,336,195,2,184,1,40
"04/2002",4455,24,743,844,240,2,2142,18,317,357,170,2,259,4,56
"05/2002",5008,22,795,923,296,5,2317,16,314,354,181,5,374,5,97
"06/2002",5155,21,799,949,312,4,2291,16,304,324,177,4,451,4,112
"07/2002",5262,29,871,986,321,1,2369,23,343,354,187,1,431,6,103
"08/2002",5314,22,863,954,353,9,2310,19,316,324,201,9,482,2,117
"09/2002",5109,28,845,949,291,3,2330,24,352,301,174,3,431,4,94
"10/2002",5154,28,865,955,237,1,2406,24,335,360,159,1,249,1,54
"11/2002",4796,19,822,887,243,2,2313,17,343,302,177,2,178,1,45
"12/2002",4845,21,826,918,217,1,2383,20,348,326,174,1,93,1,19
"01/2003",4167,18,698,815,188,5,1947,18,263,271,151,5,85,,15
"02/2003",3809,9,626,748,201,,1778,7,253,268,155,,98,,30
"03/2003",4370,22,732,823,230,3,2042,19,303,288,161,3,216,3,50
"04/2003",4812,23,809,920,316,3,2194,16,324,327,205,3,376,7,86
"05/2003",4924,25,801,903,269,1,2250,23,330,335,160,1,373,2,76
"06/2003",5126,23,823,905,300,,2253,21,333,319,179,,460,1,97
"07/2003",5373,30,842,943,321,1,2276,21,326,330,183,1,509,8,103
"08/2003",5574,36,909,1009,364,5,2390,31,327,344,225,5,536,4,106
"09/2003",5070,27,755,925,302,6,2222,22,281,314,181,6,472,4,94
"10/2003",5482,32,891,1062,309,2,2460,25,334,372,203,2,351,4,68
"11/2003",5279,28,830,983,305,3,2522,27,324,327,228,3,198,1,48
"12/2003",4891,24,809,957,219,1,2236,22,281,306,169,1,128,2,25
"01/2004",4505,16,722,841,229,,2075,15,275,312,178,,125,1,23
"02/2004",4055,24,644,781,218,3,1929,23,246,278,161,3,145,1,36
"03/2004",4449,19,752,812,249,1,2033,16,308,271,165,1,270,1,61
"04/2004",4683,25,710,866,274,4,2086,20,278,274,169,4,366,5,79
"05/2004",5152,25,819,894,312,5,2203,23,307,314,179,4,469,1,97
"06/2004",5145,22,793,957,323,1,2131,17,298,295,186,1,480,3,106
"07/2004",5294,32,819,887,373,2,2182,25,308,280,209,2,576,7,126
"08/2004",5419,30,787,974,376,2,2199,24,278,313,208,2,549,6,130
"09/2004",4910,23,784,836,304,4,2032,13,301,265,174,4,464,8,111
"10/2004",5231,23,826,921,327,1,2283,19,317,281,217,1,349,3,77
"11/2004",4849,24,799,903,261,1,2224,21,301,297,194,1,191,2,40
"12/2004",5037,11,827,943,274,2,2311,9,317,329,205,2,136,1,34
"01/2005",4298,16,711,784,231,2,1968,14,261,271,173,2,148,1,27
"02/2005",4011,22,651,757,223,2,1812,19,240,245,165,1,130,1,26
"03/2005",4411,21,680,769,249,3,1959,18,260,260,178,3,239,3,45
"04/2005",4914,28,758,824,312,6,2054,24,278,263,196,6,446,2,98
"05/2005",5019,40,752,911,332,5,2084,27,253,293,186,5,487,10,107
"06/2005",5186,23,819,871,340,2,2086,18,311,252,191,1,527,4,111
"07/2005",5683,31,885,959,363,3,2285,25,306,295,191,3,622,3,115
"08/2005",5282,31,789,911,350,3,2171,23,296,310,185,3,579,5,126
"09/2005",5081,39,706,914,344,2,2034,25,262,273,184,2,609,14,126
"10/2005",5504,28,888,995,329,2,2314,22,335,323,216,2,458,5,83
"11/2005",5212,38,839,935,313,4,2266,33,293,299,207,4,291,4,63
"12/2005",4894,27,787,950,258,5,2141,24,261,278,200,5,146,2,25
"01/2006",4411,32,703,788,238,2,1960,30,253,255,166,2,191,1,40
"02/2006",4047,17,672,701,221,1,1778,15,260,215,166,1,161,1,32
"03/2006",4612,32,730,793,277,3,1999,27,253,256,190,3,297,2,51
"04/2006",4658,22,693,763,328,5,1906,15,250,242,181,5,493,5,100
"05/2006",5117,43,716,851,359,4,2116,33,258,282,216,3,575,8,105
"06/2006",5120,21,747,835,332,5,1994,15,269,252,165,4,589,6,119
"07/2006",5236,35,790,866,358,2,2066,23,285,275,183,1,652,9,127
"08/2006",5153,19,724,854,350,4,2064,16,281,253,188,3,613,2,119
"09/2006",4956,26,727,810,360,3,1997,19,259,259,180,2,555,6,126
"10/2006",5235,38,803,931,321,8,2211,36,290,302,214,6,360,2,65
"11/2006",4793,30,756,857,264,3,2038,27,253,283,162,2,300,2,58
"12/2006",4756,33,752,851,259,3,2134,30,272,280,199,2,176,1,36
"01/2007",4060,29,663,715,244,1,1791,24,232,232,171,1,138,2,35
"02/2007",3968,24,639,688,208,8,1730,21,232,230,159,5,151,2,27
"03/2007",4746,24,724,819,301,6,1927,18,274,248,193,5,392,2,68
"04/2007",4614,34,619,824,326,4,1960,28,236,259,188,4,438,3,106
"05/2007",4899,27,722,793,339,1,1923,21,246,279,167,1,646,3,136
"06/2007",4961,30,729,794,339,2,1939,23,259,252,179,,626,5,118
"07/2007",5123,27,730,844,340,4,1933,17,246,249,160,4,686,9,139
"08/2007",5029,32,709,837,354,5,1909,25,212,267,179,2,660,6,138
"09/2007",4753,34,712,770,312,3,1808,20,263,234,155,3,635,11,114
"10/2007",4961,33,749,770,328,2,2022,27,282,233,188,2,489,3,96
"11/2007",4640,35,706,802,265,4,1981,28,239,255,175,4,268,3,51
"12/2007",4499,25,760,811,269,2,1940,23,262,260,181,1,176,2,38
"01/2008",3916,26,622,684,201,1,1786,22,236,232,151,1,148,1,24
"02/2008",3929,23,597,655,213,2,1714,19,237,222,154,2,193,,34
"03/2008",3834,25,616,679,218,5,1661,22,217,237,135,5,294,1,44
"04/2008",4021,32,559,675,300,,1569,26,188,189,156,,501,4,106
"05/2008",4329,26,607,691,312,2,1679,16,224,232,134,2,613,8,119
"06/2008",4487,28,655,693,370,5,1682,20,221,212,162,4,698,5,154
"07/2008",4422,21,621,640,332,,1638,17,220,206,144,,717,2,142
"08/2008",4663,33,624,727,343,,1758,27,233,215,135,,745,6,157
"09/2008",4185,40,564,605,280,3,1562,31,184,186,129,2,574,7,105
"10/2008",4512,31,641,694,295,2,1871,23,243,224,160,2,483,3,97
"11/2008",4151,34,680,715,237,2,1781,28,245,200,162,1,278,2,45
"12/2008",4211,32,701,736,240,2,1780,31,260,213,166,2,165,1,28
"01/2009",3565,33,577,639,204,1,1528,24,212,201,145,1,144,5,20
"02/2009",3171,23,496,546,201,1,1397,19,176,185,136,1,209,3,38
"03/2009",3459,26,569,554,213,3,1418,21,203,163,134,3,273,3,43
"04/2009",3930,35,577,607,229,,1558,29,198,169,115,,465,4,79
"05/2009",4100,34,607,651,326,3,1616,27,207,211,165,3,582,5,111
"06/2009",4013,25,590,627,302,6,1541,18,207,186,155,5,551,2,102
"07/2009",4083,27,589,655,294,2,1470,19,192,187,159,2,592,4,100
"08/2009",4196,28,612,630,313,2,1617,22,218,191,162,1,581,3,98
"09/2009",3869,31,556,610,256,4,1538,23,217,189,130,4,511,6,91
"10/2009",3857,20,618,665,255,1,1615,17,213,206,157,1,308,2,60
"11/2009",3720,21,562,625,243,1,1593,18,193,210,145,1,283,2,54
"12/2009",3577,27,562,622,185,3,1523,22,193,177,124,3,103,1,25
"01/2010",3107,26,451,544,177,,1371,25,155,173,124,,125,,16
"02/2010",2801,22,454,450,188,,1211,17,157,146,136,,110,4,18
"03/2010",3336,19,491,532,223,1,1434,17,166,167,140,1,265,,49
"04/2010",3804,42,518,601,273,2,1542,32,187,189,127,1,468,6,105
"05/2010",3956,27,572,559,298,,1540,23,202,172,151,,551,3,95
"06/2010",3821,20,574,613,285,,1390,14,206,176,135,,587,4,107
"07/2010",4200,45,610,616,317,1,1525,28,207,168,139,1,619,12,114
"08/2010",4183,32,593,621,270,1,1522,23,201,177,131,1,629,8,95
"09/2010",4094,29,556,673,263,3,1529,21,196,176,124,2,526,7,87
"10/2010",4136,35,626,624,288,2,1655,26,208,189,177,2,442,5,69
"11/2010",3854,25,566,652,233,1,1578,20,197,183,147,,214,3,34
"12/2010",3570,21,567,617,218,1,1511,14,168,186,151,1,115,2,24
"01/2011",3076,27,474,517,213,1,1345,24,164,161,159,,153,2,31
"02/2011",2868,22,441,467,175,,1167,17,145,126,116,,182,4,34
"03/2011",3311,28,507,527,197,1,1341,24,176,162,117,1,267,3,45
"04/2011",3508,28,523,547,243,2,1433,20,195,166,133,1,408,5,72
"05/2011",3744,32,531,567,254,4,1415,28,203,165,132,3,533,3,92
"06/2011",3937,18,554,569,300,4,1446,14,193,163,137,3,603,3,114
"07/2011",4232,26,571,636,358,2,1591,20,214,184,165,2,652,3,138
"08/2011",4109,25,604,580,306,4,1469,17,220,161,132,3,640,7,128
"09/2011",3824,32,505,607,262,2,1458,21,193,195,144,1,507,8,75
"10/2011",4194,31,587,632,278,7,1694,22,207,174,148,3,444,4,82
"11/2011",3692,38,535,568,218,,1588,30,194,163,136,,235,2,45
"12/2011",3624,20,545,589,222,,1564,18,200,170,152,,144,1,25
"01/2012",3330,31,526,555,188,4,1454,22,183,160,131,3,174,4,22
"02/2012",3189,23,480,529,206,,1390,20,160,188,140,,161,1,34
"03/2012",3678,24,530,516,265,1,1461,21,176,177,143,1,439,2,81
"04/2012",3548,26,498,524,268,,1435,22,192,163,157,,451,3,82
"05/2012",3966,36,579,607,309,,1479,23,193,185,141,,579,10,111
"06/2012",4131,45,576,570,316,2,1500,32,179,158,137,2,664,10,107
"07/2012",4164,24,594,656,307,1,1548,17,199,191,149,1,603,5,104
"08/2012",4258,31,575,617,309,3,1578,23,209,172,161,2,623,4,100
"09/2012",4074,36,572,586,259,3,1563,21,206,190,126,2,575,12,86
"10/2012",3997,30,590,598,260,2,1608,20,223,183,151,1,395,6,57
"11/2012",3853,23,588,608,230,3,1624,18,218,154,151,2,276,2,40
"12/2012",3772,32,606,606,243,6,1633,28,225,171,168,4,168,1,27
"01/2013",3416,25,522,523,217,,1424,20,173,149,139,,163,3,35
"02/2013",2845,23,428,453,183,3,1177,20,135,120,124,2,135,1,24
"03/2013",3552,41,487,545,223,4,1488,32,186,167,140,3,301,4,44
"04/2013",3464,30,453,528,258,3,1399,17,172,163,134,2,397,6,72
"05/2013",3817,35,528,547,298,1,1445,28,192,164,141,1,504,3,104
"06/2013",4009,34,519,596,297,5,1481,21,187,183,157,4,573,7,85
"07/2013",3933,42,573,524,291,1,1453,34,191,152,123,1,583,6,108
"08/2013",4304,34,558,583,347,3,1607,29,210,160,162,2,695,4,139
"09/2013",4106,39,533,588,316,3,1587,27,196,175,153,3,612,10,109
"10/2013",4135,33,617,609,269,2,1622,22,225,165,158,1,433,6,67
"11/2013",3803,29,571,590,253,2,1651,24,212,179,165,2,265,3,41
"12/2013",3717,32,593,550,197,2,1624,28,232,169,123,2,137,2,26
"01/2014",3260,26,459,528,183,3,1362,21,160,143,112,2,164,2,26
"02/2014",2802,21,432,451,184,,1192,16,160,129,124,,145,,25
"03/2014",3374,33,463,508,241,3,1379,23,165,142,144,2,279,3,46
"04/2014",3478,31,478,513,265,1,1395,21,175,158,141,,389,5,71
"05/2014",3891,35,533,494,263,2,1507,24,177,175,132,2,564,5,83
"06/2014",3887,40,532,541,300,4,1395,28,187,151,136,3,621,7,101
"07/2014",4011,30,560,550,309,1,1476,24,197,158,144,1,590,4,93
"08/2014",4175,49,599,596,323,4,1587,35,190,203,171,4,585,10,93
"09/2014",3897,36,537,523,294,3,1480,21,187,155,141,3,522,10,91
"10/2014",4242,46,551,637,290,4,1720,31,214,189,180,3,422,5,61
"11/2014",4044,40,583,620,282,4,1715,30,203,182,189,3,243,3,39
"12/2014",3889,40,575,624,275,2,1688,32,196,206,173,1,181,3,31
"01/2015",3584,38,559,560,243,2,1557,36,192,168,163,2,167,1,33
"02/2015",3057,25,431,481,205,5,1280,21,154,147,127,5,152,2,26
"03/2015",3721,36,580,568,247,2,1537,23,213,147,146,2,320,9,55
"04/2015",3741,40,512,526,265,1,1489,30,190,143,149,1,430,8,61
"05/2015",4333,33,610,619,320,2,1689,25,220,191,168,2,575,6,85
"06/2015",4260,44,563,591,321,2,1639,27,223,170,164,2,585,13,99
"07/2015",4628,39,641,598,350,2,1714,28,232,158,161,2,666,7,117
"08/2015",4630,41,624,639,349,4,1728,24,222,195,170,4,647,11,113
"09/2015",4380,41,566,651,317,6,1715,32,213,183,165,6,560,8,93
"10/2015",4610,51,620,644,331,3,1849,35,245,195,176,3,493,7,74
"11/2015",4212,46,581,634,267,3,1775,37,206,199,162,2,269,3,52
"12/2015",4322,51,664,639,304,5,1846,43,244,218,186,4,266,3,47
"01/2016",3483,33,501,516,231,5,1521,27,167,176,149,4,160,4,24
"02/2016",3668,39,524,532,271,1,1587,34,202,174,180,1,243,1,43
"03/2016",4065,33,569,557,318,5,1709,22,218,191,186,4,346,4,60
"04/2016",4172,41,564,591,309,3,1649,29,186,170,157,2,472,8,77
"05/2016",4580,44,633,606,345,4,1750,35,232,163,178,3,634,7,102
"06/2016",4721,47,637,652,379,5,1809,32,230,182,202,2,617,8,102
"07/2016",4583,55,627,614,331,2,1711,33,226,173,181,2,653,11,81
"08/2016",4794,44,661,656,364,,1812,34,236,185,186,,635,9,104
"09/2016",4758,44,613,648,327,4,1773,26,212,178,159,3,630,14,103
"10/2016",4933,49,651,696,339,3,1978,36,241,208,189,1,537,8,77
"11/2016",4570,40,608,668,367,3,1927,33,211,198,226,1,344,3,54
"12/2016",4387,53,621,656,313,,1853,42,215,182,190,,193,3,34
"01/2017",3988,36,580,564,264,1,1734,27,200,174,176,,195,,25
"02/2017",3487,35,543,454,251,2,1467,21,191,150,166,,271,7,30
"03/2017",4183,45,566,611,281,5,1791,27,224,181,168,4,328,4,43
"04/2017",4257,45,554,582,298,2,1718,32,195,213,158,2,517,7,78
"05/2017",4523,44,622,590,357,1,1764,32,206,164,195,,537,7,88
"06/2017",4752,48,630,667,369,1,1804,30,234,188,186,1,643,13,109
"07/2017",4980,57,663,683,387,5,1819,39,231,197,198,5,724,11,103
"08/2017",4515,49,584,624,336,3,1744,34,219,194,152,2,586,12,104
"09/2017",4874,51,589,625,382,6,1875,36,213,192,193,4,652,12,120
"10/2017",4726,37,604,677,326,4,1809,20,214,190,180,3,438,8,63
"11/2017",4441,50,597,680,299,2,1883,37,227,219,183,1,283,5,34
"12/2017",4402,48,632,675,306,4,1873,33,232,198,177,2,211,4,37
"01/2018",4056,46,578,599,298,2,1749,36,228,190,188,1,202,2,35
"02/2018",3547,37,467,479,256,,1446,29,164,133,164,,217,3,31
"03/2018",4084,37,604,607,280,3,1675,27,217,185,162,1,287,6,50
"04/2018",3985,38,536,568,289,2,1644,31,189,186,182,2,387,3,50
"05/2018",4598,43,567,608,332,3,1746,28,216,170,182,2,583,11,79
"06/2018",4648,44,581,612,345,4,1669,28,197,179,158,3,687,10,96
"07/2018",4610,41,615,626,328,3,1688,24,211,190,164,1,637,12,80
"08/2018",4648,35,580,612,353,4,1693,23,206,169,174,3,659,7,101
"09/2018",4600,56,635,632,342,1,1778,36,242,195,181,,572,11,77
"10/2018",4825,56,652,725,313,5,1846,41,227,218,181,4,450,7,57
"11/2018",4164,30,574,595,278,2,1692,24,203,187,176,,240,3,44
"12/2018",4107,45,566,571,291,2,1717,36,211,171,173,2,193,2,32
"01/2019",3875,38,550,558,259,2,1596,26,179,153,163,1,147,4,20
"02/2019",3344,24,450,488,250,2,1391,19,166,158,137,2,179,,37
"03/2019",3959,38,549,541,292,7,1623,30,211,170,169,3,340,2,45
"04/2019",4072,47,549,512,279,3,1538,32,187,154,149,,421,8,54
"05/2019",4487,53,581,601,331,1,1649,33,197,166,156,1,593,12,91
"06/2019",4535,55,611,567,327,6,1622,37,209,156,154,5,652,11,98
"07/2019",4592,53,562,619,335,2,1628,35,182,182,148,1,666,8,114
"08/2019",4699,47,625,590,377,1,1700,33,216,145,172,,677,7,120
"09/2019",4674,35,603,631,350,3,1645,17,206,163,177,2,619,11,86
"10/2019",4560,45,597,662,351,2,1767,32,194,195,204,1,397,8,61
"11/2019",4339,53,611,620,299,3,1731,38,198,190,167,3,247,4,38
"12/2019",4111,44,594,591,255,2,1696,34,169,171,155,2,176,2,31
"01/2020",3760,45,528,541,239,5,1539,28,183,165,147,3,165,2,22
"02/2020",3747,46,502,515,295,,1596,32,177,165,193,,212,4,35
"03/2020",3548,38,477,463,283,2,1441,22,185,131,151,,326,4,49
"04/2020",3077,36,407,383,253,5,1198,28,127,122,146,4,365,3,55
"05/2020",4267,47,564,562,340,6,1588,28,188,154,172,2,551,11,89
"06/2020",5186,50,676,665,392,5,1878,36,214,220,213,3,707,7,94
"07/2020",5251,72,653,636,423,8,1964,51,238,200,206,2,740,8,116
"08/2020",5426,73,655,690,434,7,1991,42,215,223,205,4,775,16,120
"09/2020",5230,65,657,673,415,3,1921,48,225,196,212,2,703,7,113
"10/2020",5480,65,702,711,433,4,2037,46,242,208,219,1,573,4,92
"11/2020",4784,56,639,634,379,5,1903,43,226,175,225,4,385,2,51
"12/2020",4516,41,626,584,306,5,1826,28,207,167,173,4,213,4,35



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."